Identificador,Ronda,Agente,Estado,Puntaje,Politica
A,155,0,0,0,7-ciclico-espejo
A,156,0,1,-1,7-ventana
A,157,0,0,0,7-ventana
A,158,0,0,0,7-ventana
A,159,0,1,-1,7-ventana
A,160,0,1,1,7-ventana
A,161,0,1,-1,7-ventana
A,162,0,0,0,7-ventana
A,163,0,0,0,7-ventana
A,164,0,1,1,7-ventana
A,165,0,1,-1,7-ventana
A,166,0,0,0,7-ventana
A,167,0,1,-1,7-ventana
A,168,0,0,0,7-ventana
A,169,0,1,1,7-ventana
A,170,0,1,-1,7-ventana
A,171,0,0,0,7-ventana
A,172,0,1,-1,7-ventana
A,173,0,0,0,7-ventana
A,174,0,0,0,7-ventana
A,175,0,1,-1,7-ventana
A,176,0,0,0,7-ventana
A,177,0,0,0,7-ciclico-espejo
A,178,0,1,-1,7-ventana
A,179,0,0,0,7-ventana
A,180,0,1,-1,7-ventana
A,181,0,1,-1,7-ventana
A,182,0,0,0,7-ventana
A,183,0,1,-1,7-ventana
A,184,0,1,1,7-ventana
A,185,0,1,-1,7-ventana
A,186,0,0,0,7-ventana
A,187,0,0,0,7-ventana
A,188,0,0,0,7-ventana
A,189,0,1,-1,7-ventana
A,190,0,0,0,7-ventana
A,191,0,1,-1,7-ventana
A,192,0,0,0,7-ventana
A,193,0,0,0,7-ventana
A,194,0,1,-1,7-ventana
A,195,0,0,0,7-ventana
A,196,0,1,-1,7-ventana
A,197,0,0,0,7-ventana
A,198,0,0,0,7-ventana
A,199,0,0,0,7-ventana
A,0,1,1,1,6-ventana
A,1,1,1,-1,6-ventana
A,2,1,0,0,6-ventana
A,3,1,1,1,6-ventana
A,4,1,1,-1,6-ventana
A,5,1,1,-1,6-ventana
A,6,1,1,-1,7-ciclico
A,7,1,0,0,6-ventana
A,8,1,0,0,6-ventana
A,9,1,0,0,6-ventana
A,10,1,0,0,7-ciclico
A,11,1,1,-1,6-ventana
A,12,1,0,0,7-ciclico
A,13,1,0,0,6-ventana
A,14,1,1,1,7-ciclico
A,15,1,0,0,6-ventana
A,16,1,1,-1,6-ventana
A,17,1,1,-1,6-ventana
A,18,1,1,-1,6-ventana
A,19,1,0,0,6-ventana
A,20,1,0,0,6-ventana
A,21,1,0,0,6-ventana
A,22,1,0,0,6-ventana
A,23,1,0,0,6-ventana
A,24,1,0,0,6-ventana
A,25,1,1,1,6-ventana
A,26,1,1,-1,6-ventana
A,27,1,1,-1,6-ventana
A,28,1,0,0,6-ventana
A,29,1,0,0,6-ventana
A,30,1,1,1,6-ventana
A,31,1,0,0,6-ventana
A,32,1,0,0,6-ventana
A,33,1,1,-1,6-ventana
A,34,1,0,0,6-ventana
A,35,1,1,-1,6-ventana
A,36,1,0,0,6-ventana
A,37,1,1,-1,6-ventana
A,38,1,1,-1,6-ventana
A,39,1,0,0,6-ventana
A,40,1,0,0,6-ventana
A,41,1,0,0,6-ventana
A,42,1,0,0,6-ventana
A,43,1,0,0,6-ventana
A,44,1,0,0,6-ventana
A,45,1,1,1,6-ventana
A,46,1,1,-1,6-ventana
A,47,1,0,0,6-ventana
A,48,1,1,-1,6-ventana
A,49,1,0,0,6-ventana
A,50,1,1,-1,6-ventana
A,51,1,0,0,6-ventana
A,52,1,0,0,6-ventana
A,53,1,1,-1,6-ventana
A,54,1,0,0,6-ventana
A,55,1,1,-1,6-ventana
A,56,1,0,0,6-ventana
A,57,1,1,-1,6-ventana
A,58,1,0,0,6-ventana
A,59,1,1,1,6-ventana
A,60,1,1,1,6-ventana
A,61,1,1,-1,6-ventana
A,62,1,0,0,6-ventana
A,63,1,1,-1,6-ventana
A,64,1,1,-1,6-ventana
A,65,1,0,0,6-ventana
A,66,1,1,-1,6-ventana
A,67,1,0,0,6-ventana
A,68,1,0,0,6-ventana
A,69,1,0,0,6-ventana
A,70,1,0,0,6-ventana
A,71,1,1,-1,6-ventana
A,72,1,0,0,6-ventana
A,73,1,0,0,6-ventana
A,74,1,1,-1,6-ventana
A,75,1,1,-1,6-ventana
A,76,1,0,0,7-ciclico
A,77,1,1,-1,6-ventana
A,78,1,0,0,6-ventana
A,79,1,0,0,6-ventana
A,80,1,0,0,6-ventana
A,81,1,0,0,6-ventana
A,82,1,1,-1,6-ventana
A,83,1,0,0,6-ventana
A,84,1,0,0,6-ventana
A,85,1,1,-1,6-ventana
A,86,1,1,-1,6-ventana
A,87,1,0,0,7-ciclico
A,88,1,1,-1,6-ventana
A,89,1,0,0,6-ventana
A,90,1,1,1,6-ventana
A,91,1,0,0,7-ciclico
A,92,1,1,-1,6-ventana
A,93,1,1,-1,6-ventana
A,94,1,0,0,6-ventana
A,95,1,0,0,6-ventana
A,96,1,1,-1,6-ventana
A,97,1,0,0,6-ventana
A,98,1,0,0,6-ventana
A,99,1,1,-1,6-ventana
A,100,1,0,0,6-ventana
A,101,1,1,1,6-ventana
A,102,1,0,0,6-ventana
A,103,1,1,-1,6-ventana
A,104,1,0,0,6-ventana
A,105,1,0,0,6-ventana
A,106,1,0,0,6-ventana
A,107,1,1,-1,6-ventana
A,108,1,0,0,6-ventana
A,109,1,1,-1,6-ventana
A,110,1,0,0,6-ventana
A,111,1,1,-1,6-ventana
A,112,1,0,0,6-ventana
A,113,1,0,0,6-ventana
A,114,1,1,-1,6-ventana
A,115,1,0,0,6-ventana
A,116,1,0,0,6-ventana
A,117,1,0,0,6-ventana
A,118,1,1,-1,6-ventana
A,119,1,1,-1,6-ventana
A,120,1,1,1,6-ventana
A,121,1,1,-1,6-ventana
A,122,1,1,-1,6-ventana
A,123,1,1,1,6-ventana
A,124,1,1,-1,6-ventana
A,125,1,0,0,6-ventana
A,126,1,1,-1,6-ventana
A,127,1,0,0,6-ventana
A,128,1,0,0,6-ventana
A,129,1,1,-1,6-ventana
A,130,1,0,0,6-ventana
A,131,1,0,0,7-ciclico
A,132,1,0,0,6-ventana
A,133,1,1,-1,6-ventana
A,134,1,0,0,6-ventana
A,135,1,0,0,6-ventana
A,136,1,0,0,6-ventana
A,137,1,1,-1,6-ventana
A,138,1,0,0,6-ventana
A,139,1,1,-1,6-ventana
A,140,1,1,-1,6-ventana
A,141,1,0,0,6-ventana
A,142,1,0,0,6-ventana
A,143,1,0,0,6-ventana
A,144,1,1,-1,6-ventana
A,145,1,0,0,6-ventana
A,146,1,1,-1,6-ventana
A,147,1,0,0,6-ventana
A,148,1,1,-1,6-ventana
A,149,1,0,0,6-ventana
A,150,1,1,-1,6-ventana
A,151,1,1,-1,6-ventana
A,152,1,0,0,6-ventana
A,153,1,0,0,6-ventana
A,154,1,0,0,6-ventana
A,155,1,1,-1,6-ventana
A,156,1,0,0,6-ventana
A,157,1,0,0,6-ventana
A,158,1,1,1,6-ventana
A,159,1,1,-1,6-ventana
A,160,1,0,0,6-ventana
A,161,1,1,-1,6-ventana
A,162,1,0,0,6-ventana
A,163,1,0,0,6-ventana
A,164,1,1,1,6-ventana
A,165,1,0,0,6-ventana
A,166,1,1,1,6-ventana
A,167,1,0,0,6-ventana
A,168,1,0,0,6-ventana
A,169,1,1,1,6-ventana
A,170,1,1,-1,6-ventana
A,171,1,0,0,6-ventana
A,172,1,1,-1,6-ventana
A,173,1,0,0,6-ventana
A,174,1,1,1,6-ventana
A,175,1,0,0,6-ventana
A,176,1,0,0,6-ventana
A,177,1,0,0,6-ventana
A,178,1,0,0,6-ventana
A,179,1,1,1,6-ventana
A,180,1,1,-1,6-ventana
A,181,1,0,0,6-ventana
A,182,1,0,0,6-ventana
A,183,1,1,-1,6-ventana
A,184,1,0,0,6-ventana
A,185,1,1,-1,6-ventana
A,186,1,0,0,6-ventana
A,187,1,0,0,6-ventana
A,188,1,1,1,6-ventana
A,189,1,0,0,6-ventana
A,190,1,0,0,6-ventana
A,191,1,0,0,6-ventana
A,192,1,1,-1,6-ventana
A,193,1,0,0,6-ventana
A,194,1,1,-1,6-ventana
A,195,1,0,0,6-ventana
A,196,1,1,-1,6-ventana
A,197,1,0,0,6-ventana
A,198,1,0,0,6-ventana
A,199,1,1,1,6-ventana
A,0,2,0,0,1-ciclico-espejo
A,1,2,1,-1,7-ventana-espejo
A,2,2,1,1,4-ciclico-espejo
A,3,2,0,0,7-ventana-espejo
A,4,2,1,-1,7-ventana-espejo
A,5,2,1,-1,7-ventana-espejo
A,6,2,1,-1,7-ventana-espejo
A,7,2,1,-1,7-ventana-espejo
A,8,2,1,1,1-ciclico-espejo
A,9,2,1,-1,7-ventana-espejo
A,10,2,1,1,1-ciclico-espejo
A,11,2,1,-1,1-ciclico-espejo
A,12,2,1,1,1-ciclico-espejo
A,13,2,1,1,1-ciclico-espejo
A,14,2,1,1,1-ciclico-espejo
A,15,2,1,1,1-ciclico-espejo
A,16,2,1,-1,7-ventana-espejo
A,17,2,1,-1,7-ventana-espejo
A,18,2,1,-1,7-ventana-espejo
A,19,2,1,1,1-ciclico-espejo
A,20,2,1,-1,7-ventana-espejo
A,21,2,1,1,7-ventana-espejo
A,22,2,1,-1,7-ventana-espejo
A,23,2,1,-1,7-ventana-espejo
A,24,2,1,1,7-ventana-espejo
A,25,2,1,1,1-ciclico-espejo
A,26,2,1,-1,7-ventana-espejo
A,27,2,1,-1,1-ciclico-espejo
A,28,2,1,1,7-ventana-espejo
A,29,2,1,1,1-ciclico-espejo
A,30,2,1,1,4-ciclico-espejo
A,31,2,1,-1,7-ventana-espejo
A,32,2,1,1,7-ventana-espejo
A,33,2,1,-1,7-ventana-espejo
A,34,2,1,1,7-ventana-espejo
A,35,2,1,-1,7-ventana-espejo
A,36,2,1,1,7-ventana-espejo
A,37,2,1,-1,4-ciclico-espejo
A,38,2,1,-1,4-ciclico-espejo
A,39,2,1,1,4-ciclico-espejo
A,40,2,1,1,1-ciclico-espejo
A,41,2,1,-1,4-ciclico-espejo
A,42,2,1,-1,4-ciclico-espejo
A,43,2,1,1,4-ciclico-espejo
A,44,2,1,1,4-ciclico-espejo
A,45,2,0,0,1-ciclico-espejo
A,46,2,1,-1,1-ciclico-espejo
A,47,2,1,1,1-ciclico-espejo
A,48,2,1,-1,1-ciclico-espejo
A,49,2,1,1,1-ciclico-espejo
A,50,2,1,-1,7-ventana-espejo
A,51,2,1,1,7-ventana-espejo
A,52,2,1,-1,7-ventana-espejo
A,53,2,1,-1,1-ciclico-espejo
A,54,2,1,1,7-ventana-espejo
A,55,2,1,-1,7-ventana-espejo
A,56,2,1,-1,7-ventana-espejo
A,57,2,1,-1,7-ventana-espejo
A,58,2,1,1,7-ventana-espejo
A,59,2,1,1,1-ciclico-espejo
A,60,2,1,1,1-ciclico-espejo
A,61,2,1,-1,7-ventana-espejo
A,62,2,1,1,7-ventana-espejo
A,63,2,1,-1,4-ciclico-espejo
A,64,2,1,-1,4-ciclico-espejo
A,65,2,1,1,4-ciclico-espejo
A,66,2,1,-1,4-ciclico-espejo
A,67,2,1,-1,4-ciclico-espejo
A,68,2,1,-1,4-ciclico-espejo
A,69,2,1,1,4-ciclico-espejo
A,70,2,1,1,4-ciclico-espejo
A,71,2,1,-1,4-ciclico-espejo
A,72,2,1,-1,4-ciclico-espejo
A,73,2,1,1,4-ciclico-espejo
A,74,2,0,0,4-ciclico-espejo
A,75,2,1,-1,4-ciclico-espejo
A,76,2,1,1,4-ciclico-espejo
A,77,2,1,-1,4-ciclico-espejo
A,78,2,1,-1,4-ciclico-espejo
A,79,2,1,1,4-ciclico-espejo
A,80,2,1,1,4-ciclico-espejo
A,81,2,1,1,4-ciclico-espejo
A,82,2,1,-1,4-ciclico-espejo
A,83,2,1,-1,4-ciclico-espejo
A,84,2,1,1,4-ciclico-espejo
A,85,2,0,0,4-ciclico-espejo
A,86,2,1,-1,4-ciclico-espejo
A,87,2,1,1,4-ciclico-espejo
A,88,2,1,-1,4-ciclico-espejo
A,89,2,1,-1,4-ciclico-espejo
A,90,2,1,1,4-ciclico-espejo
A,91,2,1,1,4-ciclico-espejo
A,92,2,1,-1,4-ciclico-espejo
A,93,2,1,-1,4-ciclico-espejo
A,94,2,1,-1,4-ciclico-espejo
A,95,2,1,1,1-ciclico-espejo
A,96,2,1,-1,4-ciclico-espejo
A,97,2,1,1,4-ciclico-espejo
A,98,2,1,1,4-ciclico-espejo
A,99,2,1,-1,1-ciclico-espejo
A,100,2,1,-1,4-ciclico-espejo
A,101,2,1,1,4-ciclico-espejo
A,102,2,1,-1,7-ventana-espejo
A,103,2,1,-1,7-ventana-espejo
A,104,2,1,-1,4-ciclico-espejo
A,105,2,1,1,1-ciclico-espejo
A,106,2,1,1,1-ciclico-espejo
A,107,2,1,-1,1-ciclico-espejo
A,108,2,1,1,4-ciclico-espejo
A,109,2,1,-1,4-ciclico-espejo
A,110,2,1,1,7-ventana-espejo
A,111,2,1,-1,4-ciclico-espejo
A,112,2,1,1,1-ciclico-espejo
A,113,2,1,-1,4-ciclico-espejo
A,114,2,1,-1,1-ciclico-espejo
A,115,2,1,1,4-ciclico-espejo
A,116,2,1,-1,4-ciclico-espejo
A,117,2,1,1,1-ciclico-espejo
A,118,2,1,-1,1-ciclico-espejo
A,119,2,1,-1,1-ciclico-espejo
A,120,2,1,1,1-ciclico-espejo
A,121,2,1,-1,1-ciclico-espejo
A,122,2,1,-1,1-ciclico-espejo
A,123,2,1,1,1-ciclico-espejo
A,124,2,1,-1,1-ciclico-espejo
A,125,2,1,1,1-ciclico-espejo
A,126,2,1,-1,7-ventana-espejo
A,127,2,1,1,7-ventana-espejo
A,128,2,1,1,7-ventana-espejo
A,129,2,1,-1,1-ciclico-espejo
A,130,2,1,-1,7-ventana-espejo
A,131,2,1,1,1-ciclico-espejo
A,132,2,1,1,1-ciclico-espejo
A,133,2,1,-1,1-ciclico-espejo
A,134,2,1,1,1-ciclico-espejo
A,135,2,1,-1,1-ciclico-espejo
A,136,2,1,1,1-ciclico-espejo
A,137,2,1,-1,1-ciclico-espejo
A,138,2,1,1,1-ciclico-espejo
A,139,2,1,-1,4-ciclico-espejo
A,140,2,1,-1,4-ciclico-espejo
A,141,2,1,-1,4-ciclico-espejo
A,142,2,1,1,1-ciclico-espejo
A,143,2,1,1,1-ciclico-espejo
A,144,2,1,-1,1-ciclico-espejo
A,145,2,1,1,1-ciclico-espejo
A,146,2,1,-1,1-ciclico-espejo
A,147,2,1,1,1-ciclico-espejo
A,148,2,1,-1,1-ciclico-espejo
A,149,2,1,1,1-ciclico-espejo
A,150,2,1,-1,1-ciclico-espejo
A,151,2,1,-1,1-ciclico-espejo
A,152,2,1,-1,1-ciclico-espejo
A,153,2,1,1,4-ciclico-espejo
A,154,2,0,0,4-ciclico-espejo
A,155,2,1,-1,4-ciclico-espejo
A,156,2,1,-1,4-ciclico-espejo
A,157,2,1,-1,1-ciclico-espejo
A,158,2,1,1,1-ciclico-espejo
A,159,2,1,-1,7-ventana-espejo
A,160,2,1,1,1-ciclico-espejo
A,161,2,1,-1,1-ciclico-espejo
A,162,2,1,-1,1-ciclico-espejo
A,163,2,1,1,1-ciclico-espejo
A,164,2,1,1,1-ciclico-espejo
A,165,2,1,-1,1-ciclico-espejo
A,166,2,1,1,1-ciclico-espejo
A,167,2,1,-1,1-ciclico-espejo
A,168,2,1,1,4-ciclico-espejo
A,169,2,0,0,4-ciclico-espejo
A,170,2,1,-1,4-ciclico-espejo
A,171,2,1,1,4-ciclico-espejo
A,172,2,1,-1,4-ciclico-espejo
A,173,2,1,1,4-ciclico-espejo
A,174,2,1,1,4-ciclico-espejo
A,175,2,1,-1,4-ciclico-espejo
A,176,2,1,-1,4-ciclico-espejo
A,177,2,1,1,4-ciclico-espejo
A,178,2,1,-1,4-ciclico-espejo
A,179,2,1,1,4-ciclico-espejo
A,180,2,1,-1,4-ciclico-espejo
A,181,2,1,-1,7-ventana-espejo
A,182,2,1,1,7-ventana-espejo
A,183,2,1,-1,7-ventana-espejo
A,184,2,1,1,7-ventana-espejo
A,185,2,1,-1,7-ventana-espejo
A,186,2,1,1,7-ventana-espejo
A,187,2,1,1,4-ciclico-espejo
A,188,2,1,1,1-ciclico-espejo
A,189,2,1,-1,4-ciclico-espejo
A,190,2,1,1,1-ciclico-espejo
A,191,2,1,-1,4-ciclico-espejo
A,192,2,1,-1,4-ciclico-espejo
A,193,2,1,1,4-ciclico-espejo
A,194,2,1,-1,1-ciclico-espejo
A,195,2,1,1,1-ciclico-espejo
A,196,2,1,-1,1-ciclico-espejo
A,197,2,1,1,7-ventana-espejo
A,198,2,1,1,1-ciclico-espejo
A,199,2,1,1,1-ciclico-espejo
A,0,3,1,1,6-ciclico-espejo
A,1,3,1,-1,3-ventana
A,2,3,0,0,3-ciclico-espejo
A,3,3,0,0,3-ciclico-espejo
A,4,3,1,-1,6-ciclico-espejo
A,5,3,1,-1,6-ciclico-espejo
A,6,3,1,-1,3-ventana
A,7,3,0,0,3-ventana
A,8,3,0,0,3-ventana
A,9,3,0,0,3-ventana
A,10,3,0,0,3-ciclico-espejo
A,11,3,1,-1,3-ventana
A,12,3,0,0,3-ventana
A,13,3,1,1,3-ventana
A,14,3,1,1,3-ventana
A,15,3,1,1,3-ventana
A,16,3,1,-1,3-ventana
A,17,3,0,0,6-ciclico-espejo
A,18,3,1,-1,3-ventana
A,19,3,0,0,3-ventana
A,20,3,0,0,3-ventana
A,21,3,0,0,3-ciclico-espejo
A,22,3,1,-1,6-ciclico-espejo
A,23,3,1,-1,3-ventana
A,24,3,0,0,3-ciclico-espejo
A,25,3,0,0,3-ciclico-espejo
A,26,3,1,-1,3-ciclico-espejo
A,27,3,1,-1,9-ciclico-espejo
A,28,3,1,1,6-ciclico-espejo
A,29,3,1,1,3-ciclico-espejo
A,30,3,1,1,3-ventana
A,31,3,1,-1,3-ventana
A,32,3,1,1,3-ventana
A,33,3,1,-1,3-ventana
A,34,3,0,0,3-ventana
A,35,3,1,-1,3-ventana
A,36,3,0,0,9-ciclico-espejo
A,37,3,1,-1,9-ciclico-espejo
A,38,3,1,-1,9-ciclico-espejo
A,39,3,1,1,9-ciclico-espejo
A,40,3,1,1,9-ciclico-espejo
A,41,3,1,-1,9-ciclico-espejo
A,42,3,1,-1,9-ciclico-espejo
A,43,3,1,1,9-ciclico-espejo
A,44,3,1,1,9-ciclico-espejo
A,45,3,1,1,9-ciclico-espejo
A,46,3,0,0,3-ventana
A,47,3,0,0,3-ventana
A,48,3,1,-1,3-ventana
A,49,3,0,0,9-ciclico-espejo
A,50,3,1,-1,3-ventana
A,51,3,0,0,3-ciclico-espejo
A,52,3,1,-1,6-ciclico-espejo
A,53,3,1,-1,3-ventana
A,54,3,0,0,3-ciclico-espejo
A,55,3,1,-1,9-ciclico-espejo
A,56,3,1,-1,3-ventana
A,57,3,1,-1,3-ventana
A,58,3,0,0,3-ventana
A,59,3,0,0,3-ventana
A,60,3,1,1,3-ventana
A,61,3,1,-1,3-ventana
A,62,3,0,0,9-ciclico-espejo
A,63,3,1,-1,9-ciclico-espejo
A,64,3,1,-1,3-ventana
A,65,3,1,1,6-ciclico-espejo
A,66,3,1,-1,9-ciclico-espejo
A,67,3,1,-1,6-ciclico-espejo
A,68,3,1,-1,3-ventana
A,69,3,0,0,9-ciclico-espejo
A,70,3,1,1,9-ciclico-espejo
A,71,3,1,-1,3-ventana
A,72,3,1,-1,3-ventana
A,73,3,0,0,3-ventana
A,74,3,1,-1,9-ciclico-espejo
A,75,3,1,-1,3-ventana
A,76,3,0,0,9-ciclico-espejo
A,77,3,1,-1,9-ciclico-espejo
A,78,3,1,-1,9-ciclico-espejo
A,79,3,1,1,3-ventana
A,80,3,0,0,9-ciclico-espejo
A,81,3,1,1,9-ciclico-espejo
A,82,3,1,-1,9-ciclico-espejo
A,83,3,1,-1,3-ventana
A,84,3,0,0,9-ciclico-espejo
A,85,3,1,-1,9-ciclico-espejo
A,86,3,1,-1,3-ventana
A,87,3,1,1,9-ciclico-espejo
A,88,3,1,-1,9-ciclico-espejo
A,89,3,1,-1,9-ciclico-espejo
A,90,3,1,1,3-ventana
A,91,3,0,0,9-ciclico-espejo
A,92,3,1,-1,9-ciclico-espejo
A,93,3,1,-1,3-ventana
A,94,3,0,0,3-ventana
A,95,3,0,0,3-ventana
A,96,3,1,-1,3-ventana
A,97,3,0,0,3-ventana
A,98,3,1,1,3-ventana
A,99,3,0,0,9-ciclico-espejo
A,100,3,1,-1,3-ventana
A,101,3,0,0,3-ventana
A,102,3,0,0,3-ventana
A,103,3,1,-1,3-ventana
A,104,3,1,-1,3-ventana
A,105,3,0,0,3-ventana
A,106,3,0,0,3-ventana
A,107,3,1,-1,3-ventana
A,108,3,1,1,3-ventana
A,109,3,1,-1,9-ciclico-espejo
A,110,3,1,1,3-ciclico-espejo
A,111,3,1,-1,9-ciclico-espejo
A,112,3,1,1,9-ciclico-espejo
A,113,3,1,-1,6-ciclico-espejo
A,114,3,1,-1,9-ciclico-espejo
A,115,3,1,1,6-ciclico-espejo
A,116,3,1,-1,9-ciclico-espejo
A,117,3,1,1,3-ciclico-espejo
A,118,3,1,-1,3-ventana
A,119,3,1,-1,3-ventana
A,120,3,1,1,3-ventana
A,121,3,1,-1,3-ventana
A,122,3,0,0,3-ventana
A,123,3,0,0,3-ventana
A,124,3,1,-1,3-ventana
A,125,3,0,0,3-ventana
A,126,3,1,-1,3-ventana
A,127,3,0,0,3-ventana
A,128,3,1,1,6-ciclico-espejo
A,129,3,1,-1,3-ciclico-espejo
A,130,3,1,-1,6-ciclico-espejo
A,131,3,1,1,3-ciclico-espejo
A,132,3,1,1,6-ciclico-espejo
A,133,3,1,-1,9-ciclico-espejo
A,134,3,1,1,3-ciclico-espejo
A,135,3,0,0,3-ciclico-espejo
A,136,3,1,1,3-ciclico-espejo
A,137,3,1,-1,3-ciclico-espejo
A,138,3,1,1,9-ciclico-espejo
A,139,3,1,-1,9-ciclico-espejo
A,140,3,1,-1,9-ciclico-espejo
A,141,3,1,-1,6-ciclico-espejo
A,142,3,1,1,9-ciclico-espejo
A,143,3,1,1,6-ciclico-espejo
A,144,3,1,-1,9-ciclico-espejo
A,145,3,1,1,3-ventana
A,146,3,1,-1,3-ventana
A,147,3,0,0,3-ventana
A,148,3,1,-1,3-ventana
A,149,3,0,0,9-ciclico-espejo
A,150,3,0,0,9-ciclico-espejo
A,151,3,1,-1,9-ciclico-espejo
A,152,3,1,-1,9-ciclico-espejo
A,153,3,1,1,9-ciclico-espejo
A,154,3,1,1,6-ciclico-espejo
A,155,3,1,-1,9-ciclico-espejo
